               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.044162,            0.072663,                   0,             0.67618,             0.47423,             0.50794,             0.18567,            0.053552,             0.10431,                   0,           0.0037128,           0.0037128,           0.0037128
                 128,             0.04392,            0.080542,                   0,             0.67618,             0.47423,             0.50794,             0.18567,            0.053552,             0.10431,                   0,           0.0036482,           0.0036482,           0.0036482
                 129,            0.046878,            0.067805,                   0,             0.62185,             0.49166,             0.49853,             0.17908,             0.05328,             0.10412,                   0,            0.003584,            0.003584,            0.003584
                 130,            0.046166,            0.075159,                   0,             0.71212,             0.48452,               0.528,             0.19387,            0.054394,             0.10365,                   0,           0.0035203,           0.0035203,           0.0035203
                 131,            0.046471,            0.067638,                   0,             0.71212,             0.48452,               0.528,             0.19387,            0.054394,             0.10365,                   0,            0.003457,            0.003457,            0.003457
                 132,            0.043937,            0.070366,                   0,             0.69212,             0.46392,             0.53613,             0.19583,            0.053066,             0.10155,                   0,           0.0033943,           0.0033943,           0.0033943
                 133,            0.044652,            0.065542,                   0,             0.69212,             0.46392,             0.53613,             0.19583,            0.053066,             0.10155,                   0,           0.0033321,           0.0033321,           0.0033321
                 134,            0.045136,            0.067722,                   0,             0.68022,             0.48454,             0.53686,             0.20654,            0.053879,              0.1025,                   0,           0.0032704,           0.0032704,           0.0032704
                 135,            0.043057,             0.06841,                   0,             0.68022,             0.48454,             0.53686,             0.20654,            0.053879,              0.1025,                   0,           0.0032093,           0.0032093,           0.0032093
                 136,             0.04391,            0.075357,                   0,             0.78939,             0.46369,             0.54093,             0.20632,            0.053594,             0.10271,                   0,           0.0031488,           0.0031488,           0.0031488
                 137,            0.043228,            0.070525,                   0,                0.75,             0.49484,             0.54036,             0.21387,            0.056153,             0.10314,                   0,           0.0030888,           0.0030888,           0.0030888
                 138,            0.047633,            0.069478,                   0,                0.75,             0.49484,             0.54036,             0.21387,            0.056153,             0.10314,                   0,           0.0030294,           0.0030294,           0.0030294
                 139,            0.048032,            0.069325,                   0,             0.59067,             0.56701,             0.55043,             0.20395,             0.05013,            0.097077,                   0,           0.0029706,           0.0029706,           0.0029706
                 140,            0.046445,            0.068502,                   0,             0.59067,             0.56701,             0.55043,             0.20395,             0.05013,            0.097077,                   0,           0.0029125,           0.0029125,           0.0029125
                 141,            0.043202,            0.071911,                   0,             0.72245,             0.48454,             0.55673,             0.21311,            0.051499,             0.10078,                   0,            0.002855,            0.002855,            0.002855
                 142,            0.042572,            0.072919,                   0,             0.72245,             0.48454,             0.55673,             0.21311,            0.051499,             0.10078,                   0,           0.0027981,           0.0027981,           0.0027981
                 143,            0.042941,            0.066654,                   0,             0.72304,             0.48446,             0.55875,             0.21889,            0.052496,             0.10052,                   0,           0.0027419,           0.0027419,           0.0027419
                 144,            0.042365,            0.069615,                   0,             0.72304,             0.48446,             0.55875,             0.21889,            0.052496,             0.10052,                   0,           0.0026864,           0.0026864,           0.0026864
                 145,            0.043576,            0.090349,                   0,             0.57513,             0.56701,             0.55451,             0.21607,            0.052991,             0.10276,                   0,           0.0026316,           0.0026316,           0.0026316
                 146,            0.044726,            0.062954,                   0,             0.56409,             0.51546,             0.52168,             0.18649,            0.053521,             0.10951,                   0,           0.0025775,           0.0025775,           0.0025775
                 147,            0.044473,            0.079476,                   0,             0.56409,             0.51546,             0.52168,             0.18649,            0.053521,             0.10951,                   0,           0.0025241,           0.0025241,           0.0025241
